rank,hover,alpha,size,ctrl,num_props,distance
1,ST,12.04493239427072,0.126342661032585,8455.184003371804,7,1.2486570593515414
1,ST,8.62532626049897,0.08731279392327622,661.6505966582395,4,0.1630500527369609
1,ST,10.024918154286569,0.11887396824296212,2608.019874507957,6,0.8906921328690185
1,ST,8.497699626185918,0.0688092033930389,276.27789708055946,4,inf
1,ST,8.650907610208517,0.09074926721926668,4556.591133606651,4,0.40616438153593615
1,ST,8.509149011719886,0.09592626467927945,5040.112568371298,6,0.30968429881404
1,ST,9.367002975740084,0.11402324472217107,1141.2108266475977,6,0.35965992460877283
1,ST,7.2781483609961,0.08991260811531941,9432.050263275289,5,inf
1,ST,6.454023108288982,0.054603198877905705,7149.856202715627,4,inf
1,ST,12.173656292568698,0.26837512416306253,1215.9808317623163,7,inf
1,ST,7.9908927638614,0.07168261944633478,768.4485155817371,4,0.27503573893724964
1,ST,8.05659158786838,0.10379169916119631,7842.328290298042,5,0.3158326663554982
1,ST,8.513538741162398,0.09029684327471403,4898.414441664456,6,0.07703636019331674
2,ST,7.509370724707654,0.09136778081176633,303.47983787552283,4,inf
2,ST,8.522397526850066,0.09376423994880634,1892.6007602141442,6,0.5767515160712733
2,ST,7.706635477802031,0.21931811152579173,4198.036409446444,6,inf
2,ST,9.891667043538595,0.13508522185548483,3382.3108544685224,6,0.4345532197010912
2,ST,6.849705101084503,0.11773715888522762,2240.081838021733,6,0.3961086435100418
2,ST,6.054073757124755,0.07506843269941083,3766.590527470791,4,0.48443585604210754
2,ST,12.042651720129932,0.1998800358001112,3057.1455431530185,7,inf
2,ST,10.402710930854276,0.13982907894911048,3227.644198511173,7,0.5254975548710158
2,ST,6.765307854364604,0.16614431259302836,6491.609406636309,5,inf
2,ST,4.395290580015992,0.05728148032232244,3551.510816869773,5,inf
2,ST,7.582738778233348,0.11046850582131755,2148.163296938292,6,0.22989551221520485
2,ST,6.312713791353274,0.07822106191595013,1076.6957200962179,4,0.4503958682269651
3,ST,11.175452478383635,0.3234497128698773,2138.9968799810076,8,inf
3,ST,9.637813652584743,0.2630074878018992,2190.061509599185,8,0.31875732179709637
3,ST,9.756312671617662,0.2000994928326738,1941.3796136375558,7,0.38203650869878103
3,ST,4.99368371332832,0.12876858351352877,3760.8881093370037,5,inf
